Datetime,year,month,day,dayofweek,hour,predictions
2019-01-01 00:00:00,2019,1,1,1,0,16178.021
2019-01-01 01:00:00,2019,1,1,1,1,15646.946
2019-01-01 02:00:00,2019,1,1,1,2,15447.619
2019-01-01 03:00:00,2019,1,1,1,3,15543.891
2019-01-01 04:00:00,2019,1,1,1,4,15543.891
2019-01-01 05:00:00,2019,1,1,1,5,15665.889
2019-01-01 06:00:00,2019,1,1,1,6,15880.89
2019-01-01 07:00:00,2019,1,1,1,7,16961.074
2019-01-01 08:00:00,2019,1,1,1,8,17352.049
2019-01-01 09:00:00,2019,1,1,1,9,16885.754
2019-01-01 10:00:00,2019,1,1,1,10,16694.469
2019-01-01 11:00:00,2019,1,1,1,11,16677.055
2019-01-01 12:00:00,2019,1,1,1,12,16763.518
2019-01-01 13:00:00,2019,1,1,1,13,16738.592
2019-01-01 14:00:00,2019,1,1,1,14,16612.812
2019-01-01 15:00:00,2019,1,1,1,15,16549.627
2019-01-01 16:00:00,2019,1,1,1,16,16549.627
2019-01-01 17:00:00,2019,1,1,1,17,16587.596
2019-01-01 18:00:00,2019,1,1,1,18,16902.674
2019-01-01 19:00:00,2019,1,1,1,19,17431.46
2019-01-01 20:00:00,2019,1,1,1,20,17479.994
2019-01-01 21:00:00,2019,1,1,1,21,17479.994
2019-01-01 22:00:00,2019,1,1,1,22,17450.95
2019-01-01 23:00:00,2019,1,1,1,23,17608.281
2019-01-02 00:00:00,2019,1,2,2,0,16635.25
2019-01-02 01:00:00,2019,1,2,2,1,16104.171
2019-01-02 02:00:00,2019,1,2,2,2,15904.846
2019-01-02 03:00:00,2019,1,2,2,3,16001.116
2019-01-02 04:00:00,2019,1,2,2,4,16001.116
2019-01-02 05:00:00,2019,1,2,2,5,16123.114
2019-01-02 06:00:00,2019,1,2,2,6,17039.43
2019-01-02 07:00:00,2019,1,2,2,7,18357.799
2019-01-02 08:00:00,2019,1,2,2,8,18755.742
